Question,Answer,text
What prepaid plans are available with U Mobile?,"U Mobile offers several prepaid plans, including UMI 38, UMI 48, and UMI 58.","####Human:
generate a U Mobile FAQ prompt for What prepaid plans are available with U Mobile?

###Assistant:
U Mobile offers several prepaid plans, including UMI 38, UMI 48, and UMI 58.
"
How can I check my prepaid balance on U Mobile?,You can check your prepaid balance by dialing *118# or using the U Mobile app.,"####Human:
generate a U Mobile FAQ prompt for How can I check my prepaid balance on U Mobile?

###Assistant:
You can check your prepaid balance by dialing *118# or using the U Mobile app.
"
What is the process for porting my number to U Mobile?,"To port your number to U Mobile, visit a U Mobile store, provide ID, and fill out the MNP form.","####Human:
generate a U Mobile FAQ prompt for What is the process for porting my number to U Mobile?

###Assistant:
To port your number to U Mobile, visit a U Mobile store, provide ID, and fill out the MNP form.
"
Can I use my U Mobile plan for roaming?,"Yes, U Mobile offers international roaming services. Activate it via the app or customer service.","####Human:
generate a U Mobile FAQ prompt for Can I use my U Mobile plan for roaming?

###Assistant:
Yes, U Mobile offers international roaming services. Activate it via the app or customer service.
"
How do I subscribe to additional data for my postpaid plan?,Subscribe to additional data through the U Mobile app or by dialing *118#.,"####Human:
generate a U Mobile FAQ prompt for How do I subscribe to additional data for my postpaid plan?

###Assistant:
Subscribe to additional data through the U Mobile app or by dialing *118#.
"
What should I do if I lose my U Mobile SIM card?,"If you lose your U Mobile SIM card, contact customer service at 018 388 1318 for assistance.","####Human:
generate a U Mobile FAQ prompt for What should I do if I lose my U Mobile SIM card?

###Assistant:
If you lose your U Mobile SIM card, contact customer service at 018 388 1318 for assistance.
"
What are the benefits of the U Mobile postpaid plans?,"U Mobile postpaid plans come with benefits like unlimited calls, high-speed data, and additional add-ons.","####Human:
generate a U Mobile FAQ prompt for What are the benefits of the U Mobile postpaid plans?

###Assistant:
U Mobile postpaid plans come with benefits like unlimited calls, high-speed data, and additional add-ons.
"
How can I activate international roaming on my U Mobile number?,You can activate international roaming by using the U Mobile app or contacting customer service.,"####Human:
generate a U Mobile FAQ prompt for How can I activate international roaming on my U Mobile number?

###Assistant:
You can activate international roaming by using the U Mobile app or contacting customer service.
"
What is the validity period for U Mobile prepaid plans?,The validity period for U Mobile prepaid plans varies; check the specific plan for details.,"####Human:
generate a U Mobile FAQ prompt for What is the validity period for U Mobile prepaid plans?

###Assistant:
The validity period for U Mobile prepaid plans varies; check the specific plan for details.
"
Can I change my U Mobile prepaid plan?,"Yes, you can change your U Mobile prepaid plan by dialing *118# or using the U Mobile app.","####Human:
generate a U Mobile FAQ prompt for Can I change my U Mobile prepaid plan?

###Assistant:
Yes, you can change your U Mobile prepaid plan by dialing *118# or using the U Mobile app.
"
How do I check my data usage on U Mobile?,Check your data usage on U Mobile through the U Mobile app or by dialing *118#.,"####Human:
generate a U Mobile FAQ prompt for How do I check my data usage on U Mobile?

###Assistant:
Check your data usage on U Mobile through the U Mobile app or by dialing *118#.
"
Are there any loyalty rewards for long-term U Mobile customers?,U Mobile may offer loyalty rewards for long-term customers; check the U Mobile website for details.,"####Human:
generate a U Mobile FAQ prompt for Are there any loyalty rewards for long-term U Mobile customers?

###Assistant:
U Mobile may offer loyalty rewards for long-term customers; check the U Mobile website for details.
"
What is the U Mobile network coverage like?,U Mobile has extensive network coverage across Malaysia. You can check the coverage map on their website.,"####Human:
generate a U Mobile FAQ prompt for What is the U Mobile network coverage like?

###Assistant:
U Mobile has extensive network coverage across Malaysia. You can check the coverage map on their website.
"
How can I pay my U Mobile bill?,"You can pay your U Mobile bill through various methods, including online banking, the U Mobile app, or at U Mobile stores.","####Human:
generate a U Mobile FAQ prompt for How can I pay my U Mobile bill?

###Assistant:
You can pay your U Mobile bill through various methods, including online banking, the U Mobile app, or at U Mobile stores.
"
What is the maximum speed for U Mobile's 4G LTE network?,The maximum speed for U Mobile's 4G LTE network depends on your location and device.,"####Human:
generate a U Mobile FAQ prompt for What is the maximum speed for U Mobile's 4G LTE network?

###Assistant:
The maximum speed for U Mobile's 4G LTE network depends on your location and device.
"
Is there a grace period for bill payment with U Mobile?,U Mobile may offer a grace period for bill payment; check your bill or contact customer service for details.,"####Human:
generate a U Mobile FAQ prompt for Is there a grace period for bill payment with U Mobile?

###Assistant:
U Mobile may offer a grace period for bill payment; check your bill or contact customer service for details.
"
Can I share data with other U Mobile users?,"Yes, U Mobile allows data sharing with other U Mobile users through its DataShare feature.","####Human:
generate a U Mobile FAQ prompt for Can I share data with other U Mobile users?

###Assistant:
Yes, U Mobile allows data sharing with other U Mobile users through its DataShare feature.
"
What is the U Mobile referral program?,U Mobile may have a referral program where you can earn rewards for referring friends. Check the U Mobile website for details.,"####Human:
generate a U Mobile FAQ prompt for What is the U Mobile referral program?

###Assistant:
U Mobile may have a referral program where you can earn rewards for referring friends. Check the U Mobile website for details.
"
How can I upgrade my U Mobile prepaid plan?,You can upgrade your U Mobile prepaid plan by using the U Mobile app or contacting customer service.,"####Human:
generate a U Mobile FAQ prompt for How can I upgrade my U Mobile prepaid plan?

###Assistant:
You can upgrade your U Mobile prepaid plan by using the U Mobile app or contacting customer service.
"
Does U Mobile offer insurance for mobile devices?,U Mobile may offer insurance for mobile devices; check with customer service for available options.,"####Human:
generate a U Mobile FAQ prompt for Does U Mobile offer insurance for mobile devices?

###Assistant:
U Mobile may offer insurance for mobile devices; check with customer service for available options.
"
What is the U Mobile customer service hotline?,The U Mobile customer service hotline is 018 388 1318.,"####Human:
generate a U Mobile FAQ prompt for What is the U Mobile customer service hotline?

###Assistant:
The U Mobile customer service hotline is 018 388 1318.
"
Can I change my U Mobile postpaid plan?,"Yes, you can change your U Mobile postpaid plan by using the U Mobile app or contacting customer service.","####Human:
generate a U Mobile FAQ prompt for Can I change my U Mobile postpaid plan?

###Assistant:
Yes, you can change your U Mobile postpaid plan by using the U Mobile app or contacting customer service.
"
